source	target
Carcinoma	Acinus
Carcinoma	DNA damage (naturally occurring)
Carcinoma	Cancer staging
Optical tweezers	Newton's laws of motion
Functional derivative	Correlation function (quantum field theory)
Functional integration	Richard Feynman
Functional integration	Path integral formulation
Anti-de Sitter space	Metric tensor
Structural genomics	Three-dimensional space
Structural genomics	X-ray crystallography
Johan Christian Fabricius	Lamarckism
Quantum hydrodynamics	Boltzmann equation
Quantum hydrodynamics	Wigner quasiprobability distribution
Quantum hydrodynamics	Richard Feynman
Coincidence circuit	Compton scattering
Sine-Gordon equation	Bäcklund transform
Heisenberg picture	Stone–von Neumann theorem
Heisenberg picture	Poisson bracket
Heisenberg picture	Hamiltonian mechanics
Heisenberg picture	Poisson bracket
Heisenberg picture	Interaction picture
Heisenberg picture	Bra–ket notation
Heisenberg picture	Interaction picture
Heisenberg picture	Heisenberg–Langevin equations
Protein structure prediction	X-ray crystallography
Protein structure prediction	X-ray crystallography
Le Sage's theory of gravitation	Christiaan Huygens
Le Sage's theory of gravitation	Rotation
Le Sage's theory of gravitation	Christiaan Huygens
Le Sage's theory of gravitation	Christiaan Huygens
Le Sage's theory of gravitation	Henri Poincaré
Le Sage's theory of gravitation	Henri Poincaré
Le Sage's theory of gravitation	Henri Poincaré
Le Sage's theory of gravitation	Richard Feynman
Vacuum energy	Physical cosmology
Vacuum energy	General relativity
Vacuum energy	Vacuum state
Connection (mathematics)	Lie group
Connection (mathematics)	Pushforward (differential)
Connection (mathematics)	Lie group
Connection (mathematics)	Erlangen program
Wigner's classification	Pauli–Lubanski pseudovector
Wigner's classification	Pauli–Lubanski pseudovector
Franz Joseph Gall	Johann Spurzheim
Franz Joseph Gall	Johann Spurzheim
Light cone	Event (relativity)
Fitness landscape	Self-organized criticality
Lie algebroid	Lie group
Lie groupoid	Lie group
Lie groupoid	Lie algebroid
Principal bundle	Lie group
Principal bundle	Section (fiber bundle)
Green's function	Hamiltonian mechanics
Green's function	Derivative
Green's function	Correlation function (quantum field theory)
Green's function	Propagator
Partition function (number theory)	Farey sequence
Partition function (quantum field theory)	Correlation function (quantum field theory)
Liouville's theorem (Hamiltonian)	Hamiltonian mechanics
Liouville's theorem (Hamiltonian)	Josiah Willard Gibbs
Liouville's theorem (Hamiltonian)	Poisson bracket
Liouville's theorem (Hamiltonian)	Hamiltonian mechanics
Liouville's theorem (Hamiltonian)	Poisson bracket
Liouville's theorem (Hamiltonian)	Hamiltonian mechanics
Liouville's theorem (Hamiltonian)	Reversible reference system propagation algorithm
Symplectomorphism	Hamiltonian mechanics
Symplectomorphism	Poisson bracket
Symplectomorphism	Darboux's theorem
Symplectomorphism	Lie group
Symplectomorphism	Arnold–Givental conjecture
Dirac sea	Vacuum polarization
Autonomous system (mathematics)	Equilibrium point
Action (physics)	Path integral formulation
Action (physics)	Richard Feynman
Action (physics)	Hamiltonian mechanics
Action (physics)	Path integral formulation
Action (physics)	Principle of least action
Long division	Elementary arithmetic
Quantum chaos	Random matrix
Möbius transformation	Stereographic projection
Möbius transformation	Erlangen program
Möbius transformation	Roger Penrose
Möbius transformation	Conformal geometry
Möbius transformation	Modular group
Boolean prime ideal theorem	Stone's representation theorem for Boolean algebras
Fibration	Jean-Pierre Serre
Fibration	Hopf fibration
Fibration	Hopf fibration
Micelle	Krafft temperature
Realdo Colombo	William Harvey
Musica universalis	Aristotle
Luis Walter Alvarez	Bevatron
Cantor function	Hausdorff dimension
Tessellation	Turing machine
Tessellation	Bravais lattice
Weird number	Untouchable number
Modular group	Farey sequence
Modular group	Pell's equation
Figurate number	Ball (mathematics)
Social network analysis	Friendship paradox
Pollen tube	DNA damage (naturally occurring)
Isoperimetric inequality	Hamming distance
Ion source	Mass spectrometry
Ion source	Volatility (chemistry)
Brahmagupta–Fibonacci identity	Pell's equation
Brahmagupta–Fibonacci identity	Pfister's sixteen-square identity
Brahmagupta–Fibonacci identity	Pell's equation
Pick's theorem	Farey sequence
Darwin's finches	Charles Darwin
Discretization	Discrete space
Bounded variation	Norm (mathematics)
Bounded variation	Indicator function
Contig	Library (biology)
Thomas Bartholin	William Harvey
Kuratowski closure axioms	Wacław Sierpiński
Kuratowski closure axioms	Closure operator
Transitional fossil	Charles Darwin
Transitional fossil	Basal (phylogenetics)
Transitional fossil	Ernst Haeckel
Transitional fossil	Ernst Haeckel
Transitional fossil	Niles Eldredge
Vegetative reproduction	Variegation
Vegetative reproduction	Woody plant
Vegetative reproduction	Auxin
Fluctuation theorem	Loschmidt's paradox
Fluctuation theorem	Jarzynski equality
Fluctuation theorem	Newton's laws of motion
Fluctuation theorem	Loschmidt's paradox
Fluctuation theorem	Jarzynski equality
Modal logic	Aristotle
Modal logic	Theophrastus
Modal logic	Aristotle
Rule of 72	Luca Pacioli
Jan Baptist van Helmont	William Harvey
Nuclear Overhauser effect	Solomon equations
Nuclear Overhauser effect	J-coupling
Nuclear Overhauser effect	Richard R. Ernst
Nuclear Overhauser effect	J-coupling
Nuclear Overhauser effect	Solomon equations
Nuclear Overhauser effect	J-coupling
Approximation	Significant figures
Raoul Bott	Lie group
Peter Higgs	Large Hadron Collider
Molecular genetics	Molecular Structure of Nucleic Acids: A Structure for Deoxyribose Nucleic Acid
Molecular genetics	RNA interference
Molecular genetics	DNA damage (naturally occurring)
Molecular genetics	Genetic recombination
Fluid mosaic model	X-ray crystallography
Fluid mosaic model	Vesicle (biology and chemistry)
Fluid mosaic model	Cell migration
Internal energy	Closed system
Genetic screen	Genetic recombination
State function	Nonholonomic system
State function	Equation of state
Anti-gravity	General relativity
Anti-gravity	General relativity
Anti-gravity	Asymptotic safety in quantum gravity
Korteweg–de Vries equation	Method of steepest descent
Pierre-Simon Laplace	Newton's laws of motion
Pierre-Simon Laplace	Three-dimensional space
Asymmetry	BaBar experiment
Leech lattice	Hamming code
Leech lattice	John Horton Conway
Leech lattice	Sphere packing
Chemosynthesis	Photosynthesis
Intuitionistic type theory	Intensional logic
Intuitionistic type theory	Integer
Intuitionistic type theory	Intuitionistic logic
Three prime untranslated region	Receptor (biochemistry)
Betti number	Henri Poincaré
Order of approximation	Linearization
Holotype	Paratype
Holotype	Type species
Virasoro algebra	Conformal field theory
Baryon number	Flavour (particle physics)
Uniform norm	Norm (mathematics)
Farey sequence	Stern–Brocot tree
Farey sequence	Stern–Brocot tree
Robertson–Seymour theorem	Graph structure theorem
Neighbor joining	WPGMA
Neighbor joining	WPGMA
Self-assembly	Self-assembly of nanoparticles
Topological defect	Lie group
Topological defect	Biaxial nematic
Topological defect	Topological quantum field theory
Germ (mathematics)	Local property
Phylogenesis	Analysis
Phylogenesis	Anatomy
Spin–statistics theorem	Vacuum state
Spin–statistics theorem	Wolfgang Pauli
Spin–statistics theorem	Richard Feynman
Graph minor	Graph isomorphism
Graph minor	Graph isomorphism
Sonic hedgehog	Genetic screen
Alan Hodgkin	Hodgkin cycle
Affine representation	Lie group
UPGMA	WPGMA
UPGMA	WPGMA
Muller's ratchet	Genetic recombination
Gene regulatory network	Oscillation
Gene regulatory network	Steady state (biochemistry)
Gene regulatory network	James Collins (bioengineer)
Gröbner basis	Maple (software)
Gröbner basis	Maple (software)
Large Hadron Collider	Spontaneous symmetry breaking
Large Hadron Collider	Charged particle beam
Mating	Genetic recombination
Mating	Basal (phylogenetics)
Random graph	Graph theory
Random graph	Semilinear response
Generalized hypergeometric function	Lie group
Generalized hypergeometric function	Clebsch–Gordan coefficients
Line bundle	Hopf fibration
Negative temperature	Temperature
Lyapunov stability	Stability theory
Lyapunov stability	Exponential stability
Richard Lewontin	Genetics (journal)
Richard Lewontin	Theodosius Dobzhansky
Richard Lewontin	Marcus Feldman
Richard Lewontin	Tomoko Ohta
Serre–Swan theorem	Jean-Pierre Serre
Genetic variation	Genetic diversity
Genetic variation	Human genetic variation
Genetic variation	Theodosius Dobzhansky
Joseph Dalton Hooker	Charles Darwin
Joseph Dalton Hooker	Charles Darwin
Joseph Dalton Hooker	Charles Darwin
Joseph Dalton Hooker	Charles Darwin
Joseph Dalton Hooker	Alfred Russel Wallace
Joseph Dalton Hooker	Charles Darwin
Conformal field theory	Virasoro algebra
Conformal field theory	C-theorem
Conformal field theory	Wightman axioms
Conformal field theory	Liouville field theory
Conformal field theory	N = 4 supersymmetric Yang–Mills theory
Conformal field theory	Operator product expansion
Nicotinamide adenine dinucleotide	NAD+ kinase
Banach–Mazur game	Discrete space
Biomolecule	X-ray crystallography
Biomolecule	Hormone
Biomolecule	Phosphodiester bond
Biomolecule	Holliday junction
Trace fossil	Anoigmaichnus
Trace fossil	Charles Darwin
John Gould	Charles Darwin
John Gould	Charles Darwin
Section (fiber bundle)	Principal bundle
Kepler conjecture	Sphere packing
Sphere packing	Poisson summation formula
Sphere packing	Hamming distance
Sphere packing	John Horton Conway
Alfred Newton	Charles Darwin
Alfred Newton	Charles Darwin
Alfred Newton	Charles Darwin
Alfred Newton	Alfred Russel Wallace
Alfred Newton	George Rolleston
Variegation	Epidermis (botany)
Long-term potentiation	Protein biosynthesis
Long-term potentiation	Protein biosynthesis
Long-term potentiation	Protein biosynthesis
Long-term potentiation	Fear processing in the brain
Long-term potentiation	Neuroplasticity
Grassmannian	Lie group
Neurophysiology	Leonardo da Vinci
Neurophysiology	Franz Joseph Gall
Neurophysiology	Hermann von Helmholtz
Neurophysiology	Brain
Neurotransmitter receptor	G protein-coupled receptor
Neurotransmitter receptor	G protein-coupled receptor
NMDA receptor	Transcranial magnetic stimulation
Critical phenomena	Hamiltonian mechanics
Critical phenomena	Curie temperature
Critical phenomena	Critical exponent
Critical phenomena	Conformal field theory
Critical phenomena	Self-organized criticality
Critical phenomena	Rushbrooke inequality
Critical phenomena	Widom scaling
Cooper pair	BCS theory
George Romanes	Charles Darwin
George Romanes	Charles Darwin
George Romanes	Charles Darwin
George Romanes	Alfred Russel Wallace
George Romanes	Charles Darwin
Torpor	Critical thermal maximum
Aril	Pyrena
Thermoregulation	Ectotherm
Thermoregulation	Ectotherm
Gauss map	Degree of a continuous mapping
Magnesium in biology	Nucleic acid double helix
Magnesium in biology	Casparian strip
Sydney Brenner	Anatomy
Stone duality	Stone's representation theorem for Boolean algebras
Stone duality	Stone's representation theorem for Boolean algebras
Inbred strain	Quantitative trait locus
Inbred strain	Inbreeding
Morgue	Freezing
Stone space	Stone's representation theorem for Boolean algebras
Stone space	Discrete space
Stone space	Stone's representation theorem for Boolean algebras
Perspective (graphical)	Luca Pacioli
Perspective (graphical)	Aristotle
Perspective (graphical)	Luca Pacioli
Perspective (graphical)	Leonardo da Vinci
Lac repressor	RNA polymerase
Lac repressor	RNA polymerase
Nanobacterium	Protocell
Reflex	Voluntary action
Hilbert's sixteenth problem	Henri Poincaré
Johannes Peter Müller	Aristotle
Johannes Peter Müller	Hermann von Helmholtz
Johannes Peter Müller	Ernst Haeckel
Italian school of algebraic geometry	Henri Poincaré
Generalized flag variety	Hermitian symmetric space
Generalized flag variety	Linear subspace
Generalized flag variety	Lie group
Generalized flag variety	Hermitian symmetric space
Pontryagin class	Signature (topology)
Pontryagin class	Chern–Simons form
Irreducible representation	Degenerate energy levels
Wallpaper group	John Horton Conway
Wallpaper group	Coxeter notation
Wallpaper group	Lattice (group)
Wallpaper group	Bravais lattice
Wallpaper group	Point group
Discrete geometry	Discrete space
Discrete geometry	Augustin-Louis Cauchy
Discrete geometry	Harold Scott MacDonald Coxeter
Discrete geometry	Sphere packing
Discrete geometry	Quasicrystal
Discrete geometry	Möbius plane
Discrete geometry	Lie group
Discrete geometry	Discrete calculus
Discrete geometry	Spectral shape analysis
Discrete geometry	Abstract differential geometry
Phineas Gage	Antonio Damasio
Legendre transformation	Hamiltonian mechanics
Legendre transformation	Hamiltonian mechanics
Legendre transformation	Dual curve
Hassler Whitney	René Thom
Hassler Whitney	Stokes' theorem
Cobordism	René Thom
Cobordism	René Thom
Cobordism	Henri Poincaré
Cobordism	René Thom
Cobordism	René Thom
Cobordism	René Thom
Chern–Simons theory	Lie group
Chern–Simons theory	Chern–Simons form
Chern–Simons theory	Path integral formulation
Chern–Simons theory	Lie group
Chern–Simons theory	Chern–Simons form
Chern–Simons theory	Topological quantum field theory
Herbarium	Plant taxonomy
Roton	Macroscopic quantum phenomena
Introduced species	Colonisation (biology)
Introduced species	Indigenous (ecology)
Ginzburg–Landau theory	Superconducting coherence length
Ginzburg–Landau theory	Calabi–Yau manifold
Matrix mechanics	Wolfgang Pauli
Matrix mechanics	Erwin Schrödinger
Matrix mechanics	Old quantum theory
Matrix mechanics	Hamiltonian mechanics
Matrix mechanics	Old quantum theory
Matrix mechanics	Old quantum theory
Matrix mechanics	Poisson bracket
Matrix mechanics	Old quantum theory
Matrix mechanics	Heisenberg picture
Matrix mechanics	Heisenberg picture
Matrix mechanics	Heisenberg picture
Matrix mechanics	Poisson bracket
Matrix mechanics	Stone–von Neumann theorem
Matrix mechanics	Stone–von Neumann theorem
Matrix mechanics	Newton's laws of motion
Matrix mechanics	Heisenberg picture
Matrix mechanics	Interaction picture
Matrix mechanics	Introduction to quantum mechanics
Leon Cooper	BCS theory
Ivar Giaever	BCS theory
Transcriptional regulation	RNA polymerase
Transcriptional regulation	RNA polymerase
Transcriptional regulation	RNA polymerase
Transcriptional regulation	RNA polymerase I
Transcriptional regulation	RNA polymerase I
Biogeochemical cycle	Hydrogen cycle
Genetic diversity	Human genetic variation
Augustin Pyramus de Candolle	Charles Darwin
Augustin Pyramus de Candolle	Charles Darwin
Augustin Pyramus de Candolle	Jean-Jacques d'Ortous de Mairan
Tissue culture	Wilhelm Roux
Tissue culture	Plant tissue culture
Tissue culture	Plant tissue culture
W and Z bosons	Vector boson
W and Z bosons	Large Hadron Collider
W and Z bosons	Simon van der Meer
Gaussian orbital	Spherical harmonics
Cerebral hemisphere	Receptor (biochemistry)
Divisor function	Refactorable number
Biophotonics	Optical tweezers
Endogamy	Exogamy
Endogamy	Exogamy
Taxicab geometry	Hamming distance
Kissing number	Lattice (group)
Kissing number	Lattice (group)
Kissing number	Inequality (mathematics)
Kissing number	Spherical code
Factorial prime	Primorial prime
Primorial prime	Factorial prime
Cartan connection	Lie group
Cartan connection	Lie group
Cartan connection	Lie group
Cartan connection	Lie group
Glide reflection	Coxeter notation
Glide reflection	Conway's Game of Life
Glide reflection	Screw axis
Folding@home	Protein
Folding@home	X-ray crystallography
Folding@home	X-ray crystallography
Folding@home	X-ray crystallography
Folding@home	Foldit
Square triangular number	Pell's equation
Square triangular number	Pell's equation
Passive transport	Semipermeable membrane
Passive transport	Active transport
Mutational meltdown	Error threshold (evolution)
Facet	Bravais lattice
Facet	Wulff construction
Facet	Crystal growth
Second quantization	Slater determinant
Intrinsic parity	Heisenberg picture
Schrödinger picture	Heisenberg picture
Schrödinger picture	Norm (mathematics)
Schrödinger picture	Heisenberg picture
Schrödinger picture	Heisenberg picture
Schrödinger picture	Interaction picture
Schrödinger picture	Interaction picture
Schrödinger picture	Heisenberg picture
Korbinian Brodmann	Histology
Sarcomere	L-type calcium channel
Radioactive tracer	Technetium-99m
Radioactive tracer	Technetium-99m
Radioactive tracer	Technetium-99m
Radioactive tracer	Technetium-99m
Radioactive tracer	Technetium-99m
Radioactive tracer	Technetium-99m
Radioactive tracer	Technetium-99m
Bragg's law	Laue equations
Bragg's law	Laue equations
Bragg's law	Bravais lattice
Bragg's law	X-ray crystallography
Primorial	Primorial prime
Primorial	Primorial prime
Accelerator physics	Hamiltonian mechanics
Accelerator physics	Lie group
H-theorem	Josiah Willard Gibbs
H-theorem	Josiah Willard Gibbs
H-theorem	Boltzmann equation
H-theorem	Loschmidt's paradox
H-theorem	Josiah Willard Gibbs
H-theorem	Canonical coordinates
H-theorem	Fermi's golden rule
H-theorem	Josiah Willard Gibbs
H-theorem	Loschmidt's paradox
H-theorem	Second law of thermodynamics
Einstein field equations	General relativity
Einstein field equations	Spacetime symmetries
Thermodynamic system	Flow process
Thermodynamic system	Semipermeable membrane
Thermodynamic system	Loschmidt's paradox
Classical electromagnetism	Richard Feynman
Classical electromagnetism	Jefimenko's equations
Classical electromagnetism	Electromagnetism
Group selection	W. D. Hamilton
Group selection	Charles Darwin
Group selection	W. D. Hamilton
Graph coloring	Claude Berge
Graph coloring	Gallai–Hasse–Roy–Vitaver theorem
Graph coloring	Circular coloring
Graph coloring	Hamiltonian coloring
Graph coloring	L(2,1)-coloring
Graph coloring	Circular coloring
Principle of locality	Classical field theory
Many-body problem	Molecular physics
Many-body problem	Quantum Monte Carlo
Many-body problem	Density functional theory
Many-body problem	Lattice gauge theory
Many-body problem	Matrix product state
Edge of chaos	Self-organized criticality
Characterology	Franz Joseph Gall
Characterology	Johann Spurzheim
Probability amplitude	Erwin Schrödinger
Probability amplitude	Quantum superposition
Probability amplitude	Quantum superposition
Probability amplitude	Richard Feynman
Probability amplitude	Argument (complex analysis)
Probability amplitude	Free particle
Coupled cluster	Slater determinant
Coupled cluster	Variational principle
Covariant derivative	Torsion tensor
Covariant derivative	Torsion tensor
Covariant derivative	Metric tensor
Arthur Compton	Henri Poincaré
15 puzzle	Three-dimensional space
Brownian ratchet	Richard Feynman
Round-off error	Truncation
S-duality	N = 4 supersymmetric Yang–Mills theory
S-duality	Seiberg duality
S-duality	Lie group
S-duality	N = 4 supersymmetric Yang–Mills theory
S-duality	Seiberg duality
Supergravity	Werner Nahm
Supergravity	Calabi–Yau manifold
Supergravity	General relativity
Supergravity	Supermanifold
Catastrophe theory	René Thom
Catastrophe theory	Butterfly effect
Catastrophe theory	Spontaneous symmetry breaking
Catastrophe theory	Valentin Afraimovich
Catastrophe theory	René Thom
Compound interest	Luca Pacioli
Plant nutrition	Casparian strip
Plant nutrition	Water potential
Plant nutrition	Active transport
Plant nutrition	Photosynthesis
Anaerobic respiration	ATP synthase
Anaerobic respiration	Biogeochemical cycle
Daniel Quillen	Raoul Bott
Lectin	Inflammation
Gerontology	End-of-life care
Path integral formulation	Richard Feynman
Path integral formulation	Erwin Schrödinger
Path integral formulation	BRST quantization
Path integral formulation	Regularization (physics)
Path integral formulation	Static forces and virtual-particle exchange
Path integral formulation	Propagator
Moving frame	Lie group
Electron cyclotron resonance	Ion cyclotron resonance
Classical limit	Poisson bracket
Classical limit	Richard Feynman
Classical limit	Quantum limit
Classical limit	Wigner–Weyl transform
Herbal medicine	Theophrastus
Mpemba effect	Aristotle
Mpemba effect	Thermal conductivity
Topological quantum field theory	Correlation function (quantum field theory)
Topological quantum field theory	BRST quantization
Topological quantum field theory	Lie group
Topological quantum field theory	Complex manifold
Weierstrass function	Henri Poincaré
Weierstrass function	Hausdorff dimension
Leucoplast	Etioplast
Reflection high-energy electron diffraction	Ewald's sphere
Fermionic condensate	BCS theory
Fermionic condensate	BCS theory
Fermionic condensate	BCS theory
Josephson effect	Superconducting quantum computing
Josephson effect	Josephson junction count
Josephson effect	Macroscopic quantum phenomena
Heisenberg group	Stone–von Neumann theorem
Heisenberg group	Lie group
Heisenberg group	Stone–von Neumann theorem
Heisenberg group	Stone–von Neumann theorem
Heisenberg group	Poisson bracket
Heisenberg group	Heisenberg picture
Heisenberg group	Stone–von Neumann theorem
Heisenberg group	Stone–von Neumann theorem
Heisenberg group	Stokes' theorem
Heisenberg group	Stone–von Neumann theorem
Heisenberg group	Wigner–Weyl transform
Heisenberg group	Stone–von Neumann theorem
Fixed point (mathematics)	Banach fixed-point theorem
Cube (algebra)	Cubic equation
Cube (algebra)	Fourth power
Limit cycle	Henri Poincaré
Limit cycle	Cell migration
Analytical mechanics	Hamiltonian mechanics
Analytical mechanics	Hamiltonian mechanics
Analytical mechanics	Canonical coordinates
Analytical mechanics	Hamiltonian mechanics
Analytical mechanics	Phase portrait
Analytical mechanics	Poisson bracket
Analytical mechanics	Heisenberg picture
Analytical mechanics	Generating function (physics)
Analytical mechanics	Hamiltonian field theory
Analytical mechanics	Non-autonomous mechanics
Spanning tree	Kirchhoff's theorem
Bounded operator	Operator algebra
Operator algebra	Matrix mechanics
Crystal system	Bravais lattice
Crystal system	Bravais lattice
Crystal system	Space group
Crystal system	Bravais lattice
Crystal system	Crystallographic point group
Crystal system	Space group
Crystal system	Bravais lattice
Crystal system	Hexagonal crystal family
Crystal system	Point group
Crystal system	Coxeter notation
Crystal system	Symmetry number
Crystal system	Chirality (chemistry)
Crystal system	Polar point group
Crystal system	Chirality (chemistry)
Crystal system	Polar point group
Crystal system	Polar point group
Crystal system	Chirality (chemistry)
Crystal system	Polar point group
Crystal system	Chirality (chemistry)
Crystal system	Polar point group
Crystal system	Chirality (chemistry)
Crystal system	Polar point group
Crystal system	Chirality (chemistry)
Crystal system	Polar point group
Crystal system	Chirality (chemistry)
Crystal system	Polar point group
Crystal system	Chirality (chemistry)
Crystal system	Polar point group
Crystal system	Chirality (chemistry)
Crystal system	Polar point group
Crystal system	Chirality (chemistry)
Crystal system	Chirality (chemistry)
Crystal system	Chirality (chemistry)
Crystal system	Chirality (chemistry)
Crystal system	Lattice (group)
Solid mechanics	Leonardo da Vinci
Solid mechanics	Newton's laws of motion
Solid mechanics	Newton's laws of motion
Reflexive operator algebra	Linear subspace
Ecotone	Population genetics
Ecotone	Alfred Russel Wallace
Superconducting magnet	Large Hadron Collider
Superconducting magnet	Large Hadron Collider
Powerful number	Pell's equation
Lotka–Volterra equations	Paradox of enrichment
Space group	Chirality (mathematics)
Space group	Bravais lattice
Space group	Diamond cubic
Space group	Wallpaper group
Space group	Coxeter notation
Space group	Wallpaper group
Space group	Crystal system
Space group	Point group
Space group	Coxeter notation
Space group	Crystal system
Space group	Crystallographic point group
Space group	Coxeter notation
Space group	Bravais lattice
Space group	Bilbao Crystallographic Server
Animal communication	Charles Darwin
E. B. Ford	Charles Darwin
E. B. Ford	Theodosius Dobzhansky
E. B. Ford	Theodosius Dobzhansky
Eddy current	Hall effect
Onsager reciprocal relations	Boltzmann equation
Thermal equilibrium	Heat transfer
Thermal equilibrium	Josiah Willard Gibbs
Kullback–Leibler divergence	Fisher information metric
Kullback–Leibler divergence	Fisher information metric
Kullback–Leibler divergence	Josiah Willard Gibbs
Kullback–Leibler divergence	Fisher information metric
Kullback–Leibler divergence	Conference on Neural Information Processing Systems
Transactional interpretation	Physical paradox
Transactional interpretation	Bra–ket notation
Lattice (group)	Real coordinate space
Lattice (group)	Coxeter notation
Lattice (group)	Lie group
Lattice (group)	Reciprocal lattice
Lattice (group)	Crystal system
Land rehabilitation	Land restoration
Non-equilibrium thermodynamics	Boltzmann equation
Non-equilibrium thermodynamics	Spontaneous symmetry breaking
Vera Rubin	Richard Feynman
Generalized coordinates	Canonical coordinates
Generalized coordinates	Hamiltonian mechanics
Transformation geometry	Chirality (mathematics)
Ultra-high-energy cosmic ray	Bevatron
Ultra-high-energy cosmic ray	Large Hadron Collider
Self-oscillation	Hunting oscillation
Self-oscillation	Hunting oscillation
Yakov Zeldovich	Physical cosmology
Yakov Zeldovich	Physical cosmology
Yakov Zeldovich	General relativity
Yakov Zeldovich	Compton scattering
Hartree–Fock method	Slater determinant
Hartree–Fock method	Open shell
Hartree–Fock method	Slater determinant
Hartree–Fock method	Slater determinant
Hartree–Fock method	Molecular physics
Lichtenberg figure	Linear particle accelerator
Gene duplication	Susumu Ohno
Normal mode	Hamiltonian mechanics
Normal mode	Sine wave
Normal mode	Quantum superposition
Normal mode	Quasinormal mode
Sphere eversion	Raoul Bott
Sphere eversion	Degree of a continuous mapping
Sphere eversion	Willmore energy
Deduction theorem	Propositional calculus
Formal group law	Lie group
Leonard Hayflick	Anatomy
Closure operator	Interior (topology)
Functional neuroimaging	Positron emission tomography
Functional neuroimaging	Electroencephalography
Functional neuroimaging	Electroencephalography
Hairy ball theorem	Null vector
Hairy ball theorem	Henri Poincaré
Hairy ball theorem	Vector fields on spheres
Long-term depression	Neuroplasticity
Theory of mind	Positron emission tomography
Reionization	Dark Ages Radio Explorer
Tribology	Leonardo da Vinci
Curvature form	Lie group
Hasse principle	Masahiko Fujiwara
Hasse principle	Birch's theorem
Anaphase-promoting complex	APC/C activator protein CDH1
Weyl algebra	Moyal product
Weyl algebra	Moyal product
Weyl algebra	Wigner–Weyl transform
Weyl algebra	CCR and CAR algebras
Variational principle	Erlangen program
Variational principle	Stephen Wolfram
Unit fraction	Addition
Awareness	Philosophy of mind
Thue–Morse sequence	Prouhet–Thue–Morse constant
Electret	Ferroelectricity
Proper time	Proper length
Proper time	Invariant mass
Pullback (differential geometry)	Pushforward (differential)
Pullback (differential geometry)	Pushforward (differential)
Rho factor	RNA polymerase
Sigma factor	RNA polymerase
Sigma factor	RNA polymerase
Auxin	Charles Darwin
Auxin	F-box protein
Terminator (genetics)	RNA polymerase
Terminator (genetics)	RNA polymerase
Lindbladian	Heisenberg picture
Lindbladian	Heisenberg picture
Sky island	Colonisation (biology)
On-Line Encyclopedia of Integer Sequences	Farey sequence
Agonist	Receptor (biochemistry)
Agonist	Functional selectivity
Clathrin	Cell migration
Magnetocrystalline anisotropy	Curie temperature
Minkowski addition	Parallel curve
Hausdorff measure	Hausdorff dimension
Hausdorff measure	Hausdorff dimension
Electric field gradient	Density functional theory
DnaA	RNA polymerase
Cooperativity	Genetic recombination
Spermatogenesis	DNA damage (naturally occurring)
Bill Gosper	Conway's Game of Life
Bill Gosper	John Horton Conway
Bill Gosper	Gosper's algorithm
Dyad symmetry	RNA polymerase
Lac operon	RNA polymerase
Double factorial	Telephone number (mathematics)
Foramen	Anatomy
Complex manifold	Calabi–Yau manifold
Complex manifold	Calabi–Yau manifold
Skew-Hermitian matrix	Norm (mathematics)
Skew-Hermitian matrix	Lie group
First fundamental form	Metric tensor
First fundamental form	Third fundamental form
Quantum dot	Technetium-99m
Quantum dot	Technetium-99m
Quantum dot	Potential well
Single-nucleotide polymorphism	Linkage disequilibrium
Single-nucleotide polymorphism	DNA damage (naturally occurring)
Chromophil	Granule (cell biology)
Wound healing	Inflammation
Wound healing	Wound licking
Canonical transformation	Hamiltonian mechanics
Canonical transformation	Hamiltonian mechanics
Canonical transformation	Poisson bracket
Herbal	Aristotle
Herbal	Theophrastus
Herbal	Carolus Clusius
Herbal	Carolus Clusius
Fisher's fundamental theorem of natural selection	Second law of thermodynamics
Fisher's fundamental theorem of natural selection	Quasi-linkage equilibrium
Excited state	Metastability
Intersystem crossing	Quantum dot
Heat pipe	Copper in heat exchangers
Radioligand	Technetium-99m
Hyperpolarization (biology)	Hodgkin cycle
Baruch Samuel Blumberg	Richard Feynman
Projection (linear algebra)	Linear subspace
Resonator	Oscillation
Resonator	Microwave cavity
Resonator	Double pendulum
Internal and external angles	Interior (topology)
Internal and external angles	Interior (topology)
Ecosystem diversity	Large marine ecosystem
Ecosystem diversity	Marine ecosystem
Ecosystem diversity	Rainforest
Ecosystem diversity	Rainforest
Ecosystem diversity	Bioregion
Ecosystem diversity	Genetic diversity
Independent set (graph theory)	Graph coloring
Independent set (graph theory)	Perrin number
Lecithin	Egg lecithin
Submanifold	Lie group
Codimension	Transversality (mathematics)
Flux pinning	Magnetic flux quantum
Type species	Paratype
Quantum number	Measurement in quantum mechanics
Quantum number	Spin–orbit interaction
Quantum number	Erwin Schrödinger
Quantum number	Elementary particle
Principal quantum number	Electron
Principal quantum number	Introduction to quantum mechanics
Type (biology)	Nomen nudum
Ferrofluid	Curie temperature
Spectral graph theory	Graph isomorphism
Spectral graph theory	Spectral shape analysis
Spectral graph theory	Spectral shape analysis
Desmosome	Gastrointestinal wall
Human body weight	Weight loss
Leslie Orgel	Mass spectrometry
Leslie Orgel	Joan Oró
Aminolevulinic acid	Heme
Poincaré duality	Henri Poincaré
Poincaré duality	Henri Poincaré
Poincaré duality	Twisted Poincaré duality
Poincaré duality	Verdier duality
Poincaré duality	Alexander duality
Poincaré duality	Poincaré complex
Poincaré duality	Poincaré space
